Unnamed: 0,대교,일자,녹조,주소,상,하,상구,상동,하구,하동,총량지점명,수소이온농도(ph),전기전도도(μS/㎝),용존산소(㎎/L),BOD(㎎/L)_x,COD(㎎/L)_x,부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s),방사선측정소명,측정소코드,I-131(요오드),수질측정소명,수온(℃)_y,DO(㎎/L),BOD(㎎/L)_y,COD(㎎/L)_y,TN(㎎/L),TP(㎎/L),TOC(㎎/L),SS(㎎/L),평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),분기_m,하구분기별인구수,하동분기별인구수,물재생센터명칭,방류_BOD,방류_TOC(2021년 1월 이전자료는 COD),방류_SS,방류_T-N,방류_TP,방류_COCG,년,월,일,80mm이상비온날횟수,방사선측정망까지의거리,총량측정망까지의거리,수질측정망까지의거리,1차하수처리량,2차하수처리량,상동분기별인구수,상구분기별인구수,교통량,총_유동인구_수_상구,연령대_10_유동인구_수_상구,연령대_20_유동인구_수_상구,연령대_30_유동인구_수_상구,연령대_40_유동인구_수_상구,연령대_50_유동인구_수_상구,연령대_60_이상_유동인구_수_상구,총_유동인구_수_하구,연령대_10_유동인구_수_하구,연령대_20_유동인구_수_하구,연령대_30_유동인구_수_하구,연령대_40_유동인구_수_하구,연령대_50_유동인구_수_하구,연령대_60_이상_유동인구_수_하구,한강옆녹지_상구,한강옆녹지_하구,녹지_상구,녹지_하구,시민의식_환경
10,성산대교,2017-06-19,1350.0,서울 마포구 망원동 성산대교,마포구 망원동,영등포구 양평2동,마포구,망원2동,영등포구,양평2동,한강H,7.7,357.0,9.3,2.5,6.1,6.0,4.725,0.18,3.0,97.629,노량진,1018A52,0.143,영등포,23.1,9.9,1.9,6.2,3.575,0.065,2.7,8.8,24.8,0.0,50.9,21.0,2017 1/2,402967.0,22799.0,난지물재생센터,7.9,14.7,5.5,30.881,0.494,650.0,2017,6,19,0,7.411079548588725,7.4053186405932925,0.5050029732725944,678.0,530066.0,20384.0,388574.0,168479.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,17169.44,8630.69,12598.06,4.88
11,한남대교,2017-06-19,0.0,서울 강남구 신사동 한남대교,용산구 한남동,서초구 잠원동,용산구,한남동,서초구,잠원동,한강G,8.3,172.0,9.2,1.2,4.4,2.1,1.521,0.02,2.1,102.727,중랑천6,1018A48,0.633,보광,22.9,7.3,1.0,5.0,3.775,0.048,2.4,3.4,24.8,0.0,50.9,21.0,2017 1/2,447936.0,35135.0,중랑물재생센터,16.2,18.5,10.5,42.193,0.2799999999999999,1920.0,2017,6,19,0,3.826155926430122,9.021813375263932,0.0299246352157982,0.0,1213259.0,23544.0,243406.0,142004.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,3552.88,11218.5,4.89
12,광진교,2017-06-26,0.0,서울 강동구 천호동 광진교,광진구 광장동,강동구 천호동,광진구,광장동,강동구,천호2동,한강G,8.9,174.0,9.2,1.7,4.9,5.7,1.643,0.022,2.6,82.875,탄천6,1018A22,0.731,성내천,25.2,3.0,1.9,5.3,3.527,0.192,3.6,22.0,23.1,29.0,76.9,14.3,2017 1/2,453060.0,36240.0,탄천물재생센터,12.8,18.1,8.0,16.5,0.269,2300.0,2017,6,26,0,5.364305138762256,0.0302736875149207,2.169217144211481,109332.0,957487.0,36515.0,371728.0,18121.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,2597.12,5250.89,4.95
13,성수대교,2017-06-26,0.0,서울 성동구 옥수동 성수대교,성동구 성수1가1동,강남구 압구정동,성동구,성수1가1동,강남구,압구정동,한강G,8.9,174.0,9.2,1.7,4.9,5.7,1.643,0.022,2.6,82.875,탄천6,1018A22,0.731,탄천6,25.9,6.1,1.5,4.5,6.602,0.105,3.7,11.6,23.1,29.0,76.9,14.3,2017 1/2,568425.0,28355.0,중랑물재생센터,12.0,17.8,11.5,37.162,0.2719999999999999,1720.0,2017,6,26,0,4.327630719267837,6.9205438675806175,4.211394946008007,230600.0,1378493.0,17225.0,311831.0,133450.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,490.0,0.0,1884.68,10232.27,4.89
14,성산대교,2017-06-26,1373.0,서울 마포구 망원동 성산대교,마포구 망원동,영등포구 양평2동,마포구,망원2동,영등포구,양평2동,한강H,7.3,373.0,7.0,2.3,6.3,7.6,4.875,0.145,3.6,79.27,노량진,1018A52,0.143,영등포,23.1,9.9,1.9,6.2,3.575,0.065,2.7,8.8,23.1,29.0,76.9,14.3,2017 1/2,402967.0,22799.0,난지물재생센터,7.699999999999999,16.3,10.7,28.673,0.438,940.0,2017,6,26,0,7.411079548588725,7.4053186405932925,0.5050029732725944,54217.0,853460.0,20384.0,388574.0,163473.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,17169.44,8630.69,12598.06,4.88
15,한남대교,2017-06-26,0.0,서울 강남구 신사동 한남대교,용산구 한남동,서초구 잠원동,용산구,한남동,서초구,잠원동,한강G,8.9,174.0,9.2,1.7,4.9,5.7,1.643,0.022,2.6,82.875,중랑천6,1018A48,0.633,보광,22.9,7.3,1.0,5.0,3.775,0.048,2.4,3.4,23.1,29.0,76.9,14.3,2017 1/2,447936.0,35135.0,중랑물재생센터,12.0,17.8,11.5,37.162,0.2719999999999999,1720.0,2017,6,26,0,3.826155926430122,9.021813375263932,0.0299246352157982,230600.0,1378493.0,23544.0,243406.0,128324.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,3552.88,11218.5,4.89
16,광진교,2017-07-18,52.0,서울 강동구 천호동 광진교,광진구 광장동,강동구 천호동,광진구,광장동,강동구,천호2동,한강G,7.7,127.0,10.1,1.7,8.0,42.5,3.3,0.26,3.5,789.47,탄천6,1018A22,0.23,성내천,25.2,3.0,1.9,5.3,3.527,0.192,3.6,22.0,26.5,2.5,80.6,11.5,2017 1/2,453060.0,36240.0,탄천물재생센터,7.1,12.4,6.800000000000001,24.748,0.502,2300.0,2017,7,18,3,5.364305138762256,0.0302736875149207,2.169217144211481,6474.0,856280.0,36515.0,371728.0,18698.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,2597.12,5250.89,4.95
17,성산대교,2017-07-18,155.0,서울 마포구 망원동 성산대교,마포구 망원동,영등포구 양평2동,마포구,망원2동,영등포구,양평2동,한강H,7.2,146.0,8.3,1.8,14.0,87.5,4.22,0.36,3.9,809.632,노량진,1018A52,0.0,영등포,23.3,8.4,1.0,7.8,2.902,0.266,4.1,56.0,26.5,2.5,80.6,11.5,2017 1/2,402967.0,22799.0,난지물재생센터,9.1,12.9,5.7,18.754,0.2319999999999999,2100.0,2017,7,18,3,7.411079548588725,7.4053186405932925,0.5050029732725944,674.0,861263.0,20384.0,388574.0,83202.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,17169.44,8630.69,12598.06,4.88
18,한남대교,2017-07-18,106.0,서울 강남구 신사동 한남대교,용산구 한남동,서초구 잠원동,용산구,한남동,서초구,잠원동,한강G,7.7,127.0,10.1,1.7,8.0,42.5,3.3,0.26,3.5,789.47,중랑천6,1018A48,0.633,보광,23.3,8.9,1.4,8.0,2.875,0.329,4.6,87.0,26.5,2.5,80.6,11.5,2017 1/2,447936.0,35135.0,중랑물재생센터,6.6,15.4,7.0,29.408,0.372,1220.0,2017,7,18,3,3.826155926430122,9.021813375263932,0.0299246352157982,242240.0,1458534.0,23544.0,243406.0,219310.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,3552.88,11218.5,4.89
19,성수대교,2017-07-18,0.0,서울 성동구 옥수동 성수대교,성동구 성수1가1동,강남구 압구정동,성동구,성수1가1동,강남구,압구정동,한강G,7.7,127.0,10.1,1.7,8.0,42.5,3.3,0.26,3.5,789.47,탄천6,1018A22,0.23,탄천6,25.9,6.1,1.5,4.5,6.602,0.105,3.7,11.6,26.5,2.5,80.6,11.5,2017 1/2,568425.0,28355.0,중랑물재생센터,6.6,15.4,7.0,29.408,0.372,1220.0,2017,7,18,3,4.327630719267837,6.9205438675806175,4.211394946008007,242240.0,1458534.0,17225.0,311831.0,139201.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,490.0,0.0,1884.68,10232.27,4.89
